game_pk,season,game_date,game_datetime_utc,game_type,status,day_night,double_header,venue_id,venue_name,home_team_id,home_team_name,away_team_id,away_team_name,home_probable_pitcher_id,home_probable_pitcher_name,away_probable_pitcher_id,away_probable_pitcher_name,innings_recorded,first_inning_runs_away,first_inning_runs_home
778563,2025,2025-03-18,2025-03-18T10:10:00Z,R,Final,night,N,2397,Tokyo Dome,112,Chicago Cubs,119,Los Angeles Dodgers,684007.0,Shota Imanaga,808967.0,Yoshinobu Yamamoto,9,0,0
778564,2025,2025-03-19,2025-03-19T10:10:00Z,R,Final,night,N,2397,Tokyo Dome,112,Chicago Cubs,119,Los Angeles Dodgers,657006.0,Justin Steele,808963.0,Roki Sasaki,9,0,0
778545,2025,2025-03-27,2025-03-27T20:10:00Z,R,Final,day,N,2680,Petco Park,135,San Diego Padres,144,Atlanta Braves,650633.0,Michael King,519242.0,Chris Sale,9,1,2
778546,2025,2025-03-27,2025-03-27T23:10:00Z,R,Final,day,N,22,Dodger Stadium,119,Los Angeles Dodgers,116,Detroit Tigers,605483.0,Blake Snell,669373.0,Tarik Skubal,9,0,0
778547,2025,2025-03-27,2025-03-28T02:10:00Z,R,Final,night,N,680,T-Mobile Park,136,Seattle Mariners,133,Athletics,669302.0,Logan Gilbert,622663.0,Luis Severino,9,0,0
778551,2025,2025-03-27,2025-03-27T20:15:00Z,R,Final,day,N,2889,Busch Stadium,138,St. Louis Cardinals,142,Minnesota Twins,543243.0,Sonny Gray,641154.0,Pablo López,9,0,1
778552,2025,2025-03-27,2025-03-28T02:10:00Z,R,Final,night,N,15,Chase Field,109,Arizona Diamondbacks,112,Chicago Cubs,668678.0,Zac Gallen,657006.0,Justin Steele,9,0,1
778553,2025,2025-03-27,2025-03-27T20:05:00Z,R,Final,day,N,5325,Globe Life Field,140,Texas Rangers,111,Boston Red Sox,543135.0,Nathan Eovaldi,676979.0,Garrett Crochet,9,0,0
778554,2025,2025-03-27,2025-03-27T20:10:00Z,R,Final,day,N,4,Rate Field,145,Chicago White Sox,108,Los Angeles Angels,680732.0,Sean Burke,579328.0,Yusei Kikuchi,9,0,0
778555,2025,2025-03-27,2025-03-27T20:05:00Z,R,Final,day,N,3309,Nationals Park,120,Washington Nationals,143,Philadelphia Phillies,669022.0,MacKenzie Gore,554430.0,Zack Wheeler,10,0,0
778556,2025,2025-03-27,2025-03-27T19:07:00Z,R,Final,day,N,14,Rogers Centre,141,Toronto Blue Jays,110,Baltimore Orioles,621244.0,José Berríos,621107.0,Zach Eflin,9,1,0
778557,2025,2025-03-27,2025-03-27T19:05:00Z,R,Final,day,N,3313,Yankee Stadium,147,New York Yankees,158,Milwaukee Brewers,607074.0,Carlos Rodón,642547.0,Freddy Peralta,9,0,1
778558,2025,2025-03-27,2025-03-27T20:10:00Z,R,Final,day,N,7,Kauffman Stadium,118,Kansas City Royals,114,Cleveland Guardians,666142.0,Cole Ragans,594902.0,Ben Lively,10,0,0
778559,2025,2025-03-27,2025-03-27T20:10:00Z,R,Final,day,N,2392,Daikin Park,117,Houston Astros,121,New York Mets,664285.0,Framber Valdez,605280.0,Clay Holmes,9,0,0
778561,2025,2025-03-27,2025-03-27T20:10:00Z,R,Final,day,N,2602,Great American Ball Park,113,Cincinnati Reds,137,San Francisco Giants,668881.0,Hunter Greene,657277.0,Logan Webb,9,0,1
778562,2025,2025-03-27,2025-03-27T20:10:00Z,R,Final,day,N,4169,loanDepot park,146,Miami Marlins,134,Pittsburgh Pirates,645261.0,Sandy Alcantara,694973.0,Paul Skenes,9,0,0
778518,2025,2025-03-28,2025-03-29T00:10:00Z,R,Final,night,N,2392,Daikin Park,117,Houston Astros,121,New York Mets,686613.0,Hunter Brown,656731.0,Tylor Megill,9,0,0
778541,2025,2025-03-28,2025-03-29T01:40:00Z,R,Final,night,N,680,T-Mobile Park,136,Seattle Mariners,133,Athletics,622491.0,Luis Castillo,605488.0,Jeffrey Springs,9,0,0
778542,2025,2025-03-28,2025-03-29T01:40:00Z,R,Final,night,N,2680,Petco Park,135,San Diego Padres,144,Atlanta Braves,656302.0,Dylan Cease,625643.0,Reynaldo López,9,0,1
778543,2025,2025-03-28,2025-03-29T01:40:00Z,R,Final,night,N,15,Chase Field,109,Arizona Diamondbacks,112,Chicago Cubs,518876.0,Merrill Kelly,592791.0,Jameson Taillon,9,0,0
778544,2025,2025-03-28,2025-03-29T02:10:00Z,R,Final,night,N,22,Dodger Stadium,119,Los Angeles Dodgers,116,Detroit Tigers,808967.0,Yoshinobu Yamamoto,656427.0,Jack Flaherty,10,0,0
778548,2025,2025-03-28,2025-03-28T23:10:00Z,R,Final,night,N,4169,loanDepot park,146,Miami Marlins,134,Pittsburgh Pirates,687362.0,Connor Gillispie,656605.0,Mitch Keller,9,0,0
778549,2025,2025-03-28,2025-03-28T23:07:00Z,R,Final,night,N,14,Rogers Centre,141,Toronto Blue Jays,110,Baltimore Orioles,592332.0,Kevin Gausman,450203.0,Charlie Morton,9,0,0
778550,2025,2025-03-28,2025-03-29T00:05:00Z,R,Final,night,N,5325,Globe Life Field,140,Texas Rangers,111,Boston Red Sox,683004.0,Jack Leiter,656557.0,Tanner Houck,9,0,0
778560,2025,2025-03-28,2025-03-28T20:10:00Z,R,Final,day,N,2523,George M. Steinbrenner Field,139,Tampa Bay Rays,115,Colorado Rockies,686752.0,Ryan Pepiot,607536.0,Kyle Freeland,9,0,0
778520,2025,2025-03-29,2025-03-29T23:15:00Z,R,Final,day,N,2680,Petco Park,135,San Diego Padres,144,Atlanta Braves,681190.0,Randy Vásquez,680885.0,Spencer Schwellenbach,9,0,0
778521,2025,2025-03-29,2025-03-30T01:40:00Z,R,Final,night,N,680,T-Mobile Park,136,Seattle Mariners,133,Athletics,682243.0,Bryce Miller,674370.0,Osvaldo Bido,9,0,0
778528,2025,2025-03-29,2025-03-29T18:15:00Z,R,Final,day,N,2889,Busch Stadium,138,St. Louis Cardinals,142,Minnesota Twins,607200.0,Erick Fedde,657746.0,Joe Ryan,9,0,1
778529,2025,2025-03-29,2025-03-29T20:10:00Z,R,Final,day,N,7,Kauffman Stadium,118,Kansas City Royals,114,Cleveland Guardians,607625.0,Seth Lugo,668909.0,Gavin Williams,9,0,0
778530,2025,2025-03-29,2025-03-29T23:15:00Z,R,Final,night,N,2392,Daikin Park,117,Houston Astros,121,New York Mets,681293.0,Spencer Arrighetti,656288.0,Griffin Canning,9,0,0
778531,2025,2025-03-29,2025-03-29T23:05:00Z,R,Final,night,N,5325,Globe Life Field,140,Texas Rangers,111,Boston Red Sox,641816.0,Tyler Mahle,621111.0,Walker Buehler,9,0,2
778532,2025,2025-03-29,2025-03-30T00:10:00Z,R,Final,night,N,15,Chase Field,109,Arizona Diamondbacks,112,Chicago Cubs,694297.0,Brandon Pfaadt,684007.0,Shota Imanaga,9,0,0
778533,2025,2025-03-29,2025-03-30T01:10:00Z,R,Final,night,N,22,Dodger Stadium,119,Los Angeles Dodgers,116,Detroit Tigers,808963.0,Roki Sasaki,681857.0,Reese Olson,9,2,1
778534,2025,2025-03-29,2025-03-29T18:10:00Z,R,Final,day,N,4,Rate Field,145,Chicago White Sox,108,Los Angeles Angels,686563.0,Jonathan Cannon,667755.0,José Soriano,9,0,0
778535,2025,2025-03-29,2025-03-29T20:05:00Z,R,Final,day,N,3309,Nationals Park,120,Washington Nationals,143,Philadelphia Phillies,663623.0,Jake Irvin,666200.0,Jesús Luzardo,9,0,0
778536,2025,2025-03-29,2025-03-29T19:07:00Z,R,Final,day,N,14,Rogers Centre,141,Toronto Blue Jays,110,Baltimore Orioles,453286.0,Max Scherzer,665152.0,Dean Kremer,9,2,2
778537,2025,2025-03-29,2025-03-29T20:10:00Z,R,Final,day,N,2523,George M. Steinbrenner Field,139,Tampa Bay Rays,115,Colorado Rockies,641793.0,Zack Littell,622608.0,Antonio Senzatela,9,0,0
778538,2025,2025-03-29,2025-03-29T17:05:00Z,R,Final,day,N,3313,Yankee Stadium,147,New York Yankees,158,Milwaukee Brewers,608331.0,Max Fried,641482.0,Nestor Cortes,9,0,4
778539,2025,2025-03-29,2025-03-29T20:10:00Z,R,Final,day,N,4169,loanDepot park,146,Miami Marlins,134,Pittsburgh Pirates,678368.0,Valente Bellozo,663559.0,Bailey Falter,12,1,0
778540,2025,2025-03-29,2025-03-29T20:10:00Z,R,Final,day,N,2602,Great American Ball Park,113,Cincinnati Reds,137,San Francisco Giants,666157.0,Nick Lodolo,434378.0,Justin Verlander,9,0,0
778510,2025,2025-03-30,2025-03-30T18:10:00Z,R,Final,day,N,7,Kauffman Stadium,118,Kansas City Royals,114,Cleveland Guardians,608379.0,Michael Wacha,676440.0,Tanner Bibee,9,0,0
778513,2025,2025-03-30,2025-03-30T20:10:00Z,R,Final,day,N,680,T-Mobile Park,136,Seattle Mariners,133,Athletics,693433.0,Bryan Woo,676664.0,JP Sears,9,0,0
778514,2025,2025-03-30,2025-03-30T23:10:00Z,R,Final,day,N,2680,Petco Park,135,San Diego Padres,144,Atlanta Braves,601713.0,Nick Pivetta,700363.0,AJ Smith-Shawver,9,0,1
778515,2025,2025-03-30,2025-03-30T20:10:00Z,R,Final,day,N,15,Chase Field,109,Arizona Diamondbacks,112,Chicago Cubs,593958.0,Eduardo Rodriguez,571510.0,Matthew Boyd,9,0,0
778516,2025,2025-03-30,2025-03-30T18:35:00Z,R,Final,day,N,5325,Globe Life Field,140,Texas Rangers,111,Boston Red Sox,594798.0,Jacob deGrom,690916.0,Richard Fitts,9,0,0
778517,2025,2025-03-30,2025-03-30T18:15:00Z,R,Final,day,N,2889,Busch Stadium,138,St. Louis Cardinals,142,Minnesota Twins,669467.0,Andre Pallante,641927.0,Bailey Ober,9,1,0
778519,2025,2025-03-30,2025-03-30T17:40:00Z,R,Final,day,N,4169,loanDepot park,146,Miami Marlins,134,Pittsburgh Pirates,676974.0,Max Meyer,571760.0,Andrew Heaney,9,0,0
