game_pk,temperature_c,wind_speed_kmh,is_indoor_park
529461,15.9,12.1,0
529475,17.5,10.5,0
529486,20.5,9.9,0
529514,17.1,11.3,0
529527,18.9,15.2,0
529542,22.2,6.3,0
529655,18.1,8.5,0
529670,15.4,16.8,0
529684,14.6,7.6,0
529702,17.8,4.2,0
529717,23.7,8.4,0
529732,26.5,15.3,0
529794,16.4,11.1,0
529809,19.3,12.7,0
529824,19.2,16.9,0
529842,14.1,16.6,0
529857,15.4,9.8,0
529872,20.1,7.4,0
529967,18.1,10.5,0
529978,16.5,19.9,0
529993,17.4,17.7,0
530008,20.5,10.1,0
530020,17.8,15.1,0
530029,18.3,13.9,0
530043,19.7,13.8,0
530060,17.5,13.7,0
530075,17.5,14.6,0
530090,19.0,12.2,0
530105,22.6,15.0,0
530267,21.6,7.9,0
530282,23.5,10.6,0
530297,27.6,13.8,0
530302,18.1,13.6,0
530309,18.2,13.7,0
530324,18.5,12.7,0
530480,20.5,11.4,0
530489,19.8,11.4,0
530527,20.0,8.2,0
530542,21.9,10.2,0
530557,20.1,16.9,0
530572,24.6,14.5,0
530722,39.4,11.2,0
530737,35.6,15.5,0
530752,31.6,17.1,0
530782,25.4,10.9,0
530797,25.0,12.6,0
530807,23.9,15.1,0
530864,23.9,12.0,0
530879,28.6,16.8,0
530894,31.4,14.7,0
530906,27.5,11.1,0
530919,26.5,13.4,0
530933,25.6,12.1,0
530946,30.8,12.2,0
530966,26.4,14.1,0
530981,23.9,13.8,0
530996,31.4,16.8,0
531096,30.0,9.4,0
531109,28.6,13.0,0
531124,35.4,17.3,0
531149,28.9,13.6,0
531164,28.5,17.8,0
531179,30.5,16.5,0
531332,22.9,10.3,0
531347,24.2,12.0,0
531362,27.0,12.8,0
531374,22.5,11.0,0
531381,23.4,9.8,0
531565,21.1,9.4,0
531579,21.1,10.6,0
531594,22.1,9.7,0
531602,25.3,10.0,0
531615,25.5,9.4,0
531630,26.2,10.7,0
531645,28.7,13.5,0
531754,19.4,10.4,0
531769,19.0,5.9,0
531784,20.3,10.9,0
531802,19.1,10.0,0
531817,20.9,12.3,0
531832,27.7,8.9,0
564734,15.4,8.9,0
564735,16.1,11.9,0
564736,20.3,9.2,0
564737,25.3,6.8,0
564738,22.4,11.4,0
564739,23.0,20.1,0
564740,20.1,12.3,0
564741,22.4,8.5,0
564742,15.2,12.8,0
564743,16.8,14.9,0
564744,19.5,12.4,0
564745,17.1,10.1,0
564746,18.8,8.3,0
564747,19.0,9.2,0
564748,20.1,11.8,0
564749,16.0,14.2,0
564750,17.5,14.9,0
564751,17.5,9.6,0
564754,18.0,7.4,0
564755,17.6,11.5,0
564756,18.6,25.5,0
564757,17.4,11.0,0
564758,16.2,10.2,0
